OBJECTID_1,OBJECTID,DWR_,SUBBSN_,BAS_SBBSN,GWBASIN,SUBNAME,ACRES,BUDGET_TYP,Regional_O,Shape_Leng,Shape_Le_1,Shape_Area
18,18,7-28,,7-28,VALLECITO-CARRIZO VALLEY,, 122943.32000000001,C,4, 225921.23621300000,      2.24363492203,      0.04752537224
19,19,9-11,,9-11,SANTA MARIA VALLEY,,  12379.25200000000,A,4,  70472.13736610000,      0.69929748270,      0.00480078646
20,20,7-36,,7-36,YUMA VALLEY,, 121923.18300000000,C,4, 289372.34219400003,      2.83919995106,      0.04831814397
21,21,9-22,,9-22,BATIQUITOS LAGOON VALLEY,,    745.35500000000,C,4,  11441.94689830000,      0.10891742751,      0.00028952939
22,22,9-10,,9-10,SAN PASQUAL VALLEY,,   4563.31200000000,C,4,  46976.93470780000,      0.46573487356,      0.00177108707
23,23,7-35,,7-35,OGILBY VALLEY,, 135017.13200000001,C,4, 186987.09907900001,      1.83973819267,      0.05196093887
24,24,9-32,,9-32,SAN MARCOS AREA,,   2143.56300000000,C,4,  15717.61896240000,      0.15666359630,      0.00083289575
25,25,9-9,,9-9,ESCONDIDO VALLEY,,   2906.33700000000,C,4,  27220.64183950000,      0.27198282966,      0.00112886969
26,26,7-56,,7-56,YAQUI WELL AREA,,  15097.92500000000,C,4,  93903.83748790000,      0.94041004904,      0.00585083187
27,27,9-24,,9-24,PAMO VALLEY,,   1513.52600000000,C,4,  20000.14002440000,      0.18973903608,      0.00058761259
28,28,7-27,,7-27,SAN FELIPE VALLEY,,  23572.54200000000,C,4, 125233.05551900000,      1.24217182326,      0.00913600232
29,29,9-25,,9-25,RANCHITA TOWN AREA,,   3145.54400000000,C,4,  20987.17604000000,      0.21039798759,      0.00122109255
30,30,7-34,,7-34,AMOS VALLEY,, 131583.79999999999,C,4, 199081.34555200001,      1.96147236755,      0.05077737192
31,31,9-8,,9-8,WARNER VALLEY,,  24150.03400000000,C,4,  91335.96603600000,      0.90880898134,      0.00938488990
32,32,7-30,,7-30,IMPERIAL VALLEY,, 969016.64300000004,A,4, 288030.07171900000,      2.88367410849,      0.37352716218
33,33,9-4,,9-4,SANTA MARGARITA VALLEY,,   7997.57200000000,A,4,  68266.57676480000,      0.66199504507,      0.00311420607
34,34,9-7,,9-7,SAN LUIS REY VALLEY,,  29864.50300000000,C,4, 254998.81395200000,      2.54101269032,      0.01162315601
35,35,9-3,,9-3,SAN ONOFRE VALLEY,,   1260.61800000000,A,4,  17623.81010350000,      0.18332003452,      0.00049165091
36,36,7-24,,7-24,BORREGO VALLEY,, 153978.37700000001,A,4, 335869.91554000002,      3.34422667263,      0.05965868073
37,37,7-22,,7-22,WEST SALTON SEA,, 106408.21600000000,C,4,  95270.90478980000,      0.95009216228,      0.04127494805
38,38,7-25,,7-25,OCOTILLO-CLARK VALLEY,, 224415.90800000000,C,4, 258330.87470099999,      2.57574012873,      0.08694705077
39,39,9-2,,9-2,SAN MATEO VALLEY,,   3009.18500000000,A,4,  46442.00241140000,      0.45364030272,      0.00117418617
40,40,7-55,,7-55,COLLINS VALLEY,,   7120.67200000000,C,4,  72211.65905370000,      0.71136271116,      0.00277022608
41,41,7-33,,7-33,EAST SALTON SEA,, 197042.55600000001,C,4, 350408.27440699999,      3.44943778806,      0.07636038483
42,42,7-54,,7-54,BUCK RIDGE FAULT VALLEY,,   6973.60000000000,C,4,  52892.29752610000,      0.53626398821,      0.00271401539
43,43,7-26,,7-26,TERWILLIGER VALLEY,,   8080.58000000000,C,4,  34575.62924900000,      0.34490427206,      0.00314782386
44,44,7-37,,7-37,ARROYO SECO VALLEY,, 259805.72099999999,C,4, 411405.97840099997,      4.04566875857,      0.10051133331
45,45,7-63,,7-63,VANDEVENTER FLAT,,   6786.77800000000,C,4,  44320.74024940000,      0.44948408201,      0.00264466000
46,46,9-6,,9-6,CAHUILLA VALLEY,,  18341.57100000000,C,4,  92930.70337800001,      0.92053576170,      0.00715100225
47,47,9-5,,9-5,TEMECULA VALLEY,,  88338.14900000000,C,4, 246951.40620299999,      2.47588670726,      0.03446381803
48,48,9-1,,9-1,SAN JUAN VALLEY,,  16796.78200000000,C,4, 166372.53816600001,      1.59833629195,      0.00656476572
49,49,7-32,,7-32,CHOCOLATE VALLEY,, 130507.01100000000,C,4, 289889.90374400001,      2.87745094717,      0.05070652790
50,50,8-6,,8-6,HEMET LAKE VALLEY,,  16810.57600000000,C,4,  88303.37331070000,      0.86769215460,      0.00655981995
51,51,7-31,,7-31,OROCOPIA VALLEY,,  97214.25000000000,A,4, 302954.36101100000,      2.99108742730,      0.03784621450
52,52,8-4,,8-4,ELSINORE,,  25873.33000000000,C,4, 117063.92083000000,      1.16055154467,      0.01012327868
53,53,7-38,,7-38,PALO VERDE VALLEY,,  74004.22600000000,A,4, 147498.68279100000,      1.43608392098,      0.02865613572
54,54,8-2,8-2.09,8-2.09,UPPER SANTA ANA VALLEY,TEMESCAL,  23654.43300000000,C,4,  68882.95367400000,      0.68469532667,      0.00927701238
55,55,8-1,,8-1,COASTAL PLAIN OF ORANGE COUNTY,, 223221.74400000001,A,4, 314491.79814000003,      3.14441705876,      0.08750543409
56,56,7-39,,7-39,PALO VERDE MESA,, 228010.05100000001,C,4, 337394.74163900001,      3.34058132032,      0.08846618647
57,57,7-21,7-21.01,7-21.01,COACHELLA VALLEY,INDIO, 299783.55900000001,A,4, 482841.83784900000,      4.82531741180,      0.11690692037
58,58,7-52,,7-52,PLEASANT VALLEY,,   9733.13000000000,C,4,  49167.32509030000,      0.49801466641,      0.00380411414
59,59,4-11,4-11.03,4-11.03,COASTAL PLAIN OF LOS ANGELES,WEST COAST,  91660.63400000001,A,4, 190686.64542900000,      1.87890448636,      0.03683639149
60,60,8-5,,8-5,SAN JACINTO,, 188623.32800000001,C,4, 486753.14287200000,      4.82983605893,      0.07382002666
61,61,7-40,,7-40,QUIEN SABE POINT VALLEY,,  25488.68100000000,C,4,  83967.63314960001,      0.83028671178,      0.00990586223
62,62,7-21,7-21.03,7-21.03,COACHELLA VALLEY,DESERT HOT SPRINGS, 101862.37200000000,C,4, 340115.55128800002,      3.35587105951,      0.03976410406
63,63,4-22,,4-22,MALIBU VALLEY,,    615.26900000000,C,4,   7939.18347122000,      0.07908059513,      0.00024233801
64,64,7-21,7-21.04,7-21.04,COACHELLA VALLEY,SAN GORGONIO PASS,  38823.15600000000,A,4, 168508.39825500001,      1.65865143865,      0.01521143052
65,65,8-2,8-2.08,8-2.08,UPPER SANTA ANA VALLEY,SAN TIMOTEO,  73540.51700000001,A,4, 156310.89679800000,      1.57508816052,      0.02883874709
66,66,7-53,,7-53,HEXIE MOUNTAIN AREA,,  11235.90900000000,C,4,  54465.89368790000,      0.54556460851,      0.00439548700
67,67,4-11,4-11.04,4-11.04,COASTAL PLAIN OF LOS ANGELES,CENTRAL, 180356.73999999999,A,4, 158473.58922699999,      1.57621655237,      0.07088846791
68,68,4-11,4-11.01,4-11.01,COASTAL PLAIN OF LOS ANGELES,SANTA MONICA,  31845.68200000000,C,4,  83612.56840660000,      0.82823088483,      0.01253513983
69,69,7-21,7-21.02,7-21.02,COACHELLA VALLEY,MISSION CREEK,  48966.31300000000,A,4, 176553.56911700001,      1.79921172511,      0.01916773631
70,70,8-2,8-2.07,8-2.07,UPPER SANTA ANA VALLEY,YUCAIPA,  25409.95300000000,A,4,  83503.91334230000,      0.86521733460,      0.00997300722
71,71,8-2,8-2.03,8-2.03,UPPER SANTA ANA VALLEY,RIVERSIDE-ARLINGTON,  58902.59500000000,A,4, 180914.24101000000,      1.79151287246,      0.02312076166
72,72,7-5,,7-5,CHUCKWALLA VALLEY,, 608995.15200000000,C,4, 929457.96851399995,      9.27244389990,      0.23678285642
73,73,4-11,4-11.02,4-11.02,COASTAL PLAIN OF LOS ANGELES,HOLLYWOOD,  10108.09300000000,A,4,  40689.26157160000,      0.41315933540,      0.00398095368
74,74,7-51,,7-51,LOST HORSE VALLEY,,  17454.72500000000,C,4, 143086.21106900001,      1.42922359077,      0.00683314832
75,75,7-20,,7-20,MORONGO VALLEY,,   7285.60800000000,C,4,  50565.36361680000,      0.51189923704,      0.00285690759
76,76,4-16,,4-16,HIDDEN VALLEY,,   2216.66500000000,C,4,  23170.22148450000,      0.23797179526,      0.00087450513
77,77,7-6,,7-6,PINTO VALLEY,, 184377.40299999999,A,4, 650043.47690799995,      6.48280003845,      0.07197788785
78,78,4-19,,4-19,THOUSAND OAKS AREA,,   3114.75700000000,C,4,  29712.72156950000,      0.29647263319,      0.00122880221
79,79,4-20,,4-20,RUSSELL VALLEY,,   3087.22700000000,A,4,  23856.68305100000,      0.24069898593,      0.00121785589
80,80,7-12,,7-12,WARREN VALLEY,,  23951.79000000000,A,4, 146842.15981899999,      1.47132965554,      0.00939073403
81,81,4-13,,4-13,SAN GABRIEL VALLEY,, 127278.42000000000,A,4, 293712.34410699998,      2.96295405665,      0.05008332589
82,82,7-62,,7-62,JOSHUA TREE,,  27421.60800000000,A,4, 128356.68776700000,      1.29033353920,      0.01074395574
83,83,8-2,8-2.01,8-2.01,UPPER SANTA ANA VALLEY,CHINO, 154692.55200000000,A,4, 174610.10079299999,      1.73274225245,      0.06079490204
84,84,8-2,8-2.02,8-2.02,UPPER SANTA ANA VALLEY,CUCAMONGA,   9573.97500000000,C,4,  35139.33603550000,      0.34190581772,      0.00376729358
85,85,8-8,,8-8,SEVEN OAKS VALLEY,,   4103.00400000000,C,4,  26037.09595090000,      0.26864319702,      0.00161251711
86,86,4-10,,4-10,CONEJO,,  18847.94900000000,A,4,  59422.04118110000,      0.60187079298,      0.00743995764
87,87,4-23,,4-23,RAYMOND,,  26310.10200000000,A,4,  63019.47991750000,      0.64001067032,      0.01036694887
88,88,8-7,,8-7,BIG MEADOWS VALLEY,,  14262.59500000000,C,4,  67057.56411000001,      0.68276447338,      0.00560373530
89,89,4-7,,4-7,ARROYO SANTA ROSA VALLEY,,   3746.83700000000,A,4,  21712.55867470000,      0.22689221385,      0.00147986489
90,90,4-6,,4-6,PLEASANT VALLEY,,  21653.58400000000,A,4,  63376.10460960000,      0.63599069960,      0.00855126780
91,91,7-11,,7-11,COPPER MOUNTAIN VALLEY,,  30539.69900000000,A,4, 102889.80972999999,      1.05584804080,      0.01198220300
92,92,4-15,,4-15,TIERRA REJADA,,   4610.75600000000,A,4,  24163.43788610000,      0.24423845203,      0.00182110547
93,93,8-2,8-2.06,8-2.06,UPPER SANTA ANA VALLEY,BUNKER HILL,  80972.22800000000,A,4, 141712.45889499999,      1.44290816539,      0.03182734320
94,94,4-4,4-4.02,4-4.02,SANTA CLARA RIVER VALLEY,OXNARD,  58199.96300000000,A,4, 103616.25467500000,      1.02690348987,      0.02298114835
95,95,7-4,,7-4,RICE VALLEY,, 190622.26999999999,C,4, 269419.06939600001,      2.67021962131,      0.07427357918
96,96,4-9,,4-9,SIMI VALLEY,,  12191.67500000000,A,4,  61920.58325280000,      0.63190495490,      0.00481552900
97,97,4-4,4-4.03,4-4.03,SANTA CLARA RIVER VALLEY,MOUND,  14845.87900000000,A,4,  49503.46916280000,      0.50005817841,      0.00586854790
98,98,7-49,,7-49,PIPES CANYON FAULT VALLEY,,   3407.87200000000,C,4,  27500.76413410000,      0.26841657288,      0.00133943018
99,99,8-9,,8-9,BEAR VALLEY,,  19666.92000000000,A,4,  83989.79107100000,      0.86693328795,      0.00773433931
100,100,4-8,,4-8,LAS POSAS VALLEY,,  42352.67900000000,A,4,  80208.23462920000,      0.82387043583,      0.01673736876
101,101,8-2,8-2.04,8-2.04,UPPER SANTA ANA VALLEY,RIALTO-COLTON,  30224.04500000000,A,4, 162745.01853700000,      1.63928330231,      0.01188797715
102,102,4-12,,4-12,SAN FERNANDO VALLEY,, 145353.62800000000,A,4, 411549.16938899999,      4.15339645593,      0.05734454899
103,103,7-10,,7-10,TWENTYNINE PALMS VALLEY,,  62829.29000000000,C,4,  85923.87197560001,      0.86927944585,      0.02464579511
104,104,7-48,,7-48,HELENDALE FAULT VALLEY,,   2636.45600000000,C,4,  30969.51730830000,      0.31355787362,      0.00103706035
105,105,4-3,4-3.02,4-3.02,VENTURA RIVER VALLEY,LOWER VENTURA RIVER,   5311.88800000000,A,4,  55051.65391330000,      0.54878798723,      0.00210102163
106,106,7-41,,7-41,CALZONA VALLEY,,  81707.62200000000,C,4, 106212.79793500000,      1.04523265718,      0.03185793320
107,107,8-2,8-2.05,8-2.05,UPPER SANTA ANA VALLEY,CAJON,  23305.68700000000,C,4,  90246.04728660001,      0.91537048476,      0.00918826146
108,108,3-18,,3-18,CARPINTERIA,,   8140.19800000000,A,4,  30004.16942270000,      0.30970322757,      0.00322410855
109,109,4-4,4-4.04,4-4.04,SANTA CLARA RIVER VALLEY,SANTA PAULA,  22899.33600000000,A,4,  64176.12788620000,      0.64087139798,      0.00905701660
110,110,3-17,,3-17,SANTA BARBARA,,   6172.97700000000,A,4,  27537.13289760000,      0.28569035885,      0.00244648436
111,111,7-42,,7-42,VIDAL VALLEY,, 139576.92800000001,C,4, 290052.77053200000,      2.87347065971,      0.05447670206
112,112,4-4,4-4.05,4-4.05,SANTA CLARA RIVER VALLEY,FILLMORE,  20841.59000000000,A,4,  50420.86730160000,      0.51257703513,      0.00824638956
113,113,3-49,,3-49,MONTECITO,,   6285.45900000000,A,4,  45663.52569350000,      0.46413485205,      0.00249095865
114,114,7-13,7-13.02,7-13.02,DEADMAN VALLEY,SURPRISE SPRING,  29506.88400000000,C,4,  49968.96322310000,      0.47988792689,      0.01159460032
115,115,4-1,,4-1,UPPER OJAI VALLEY,,   3815.08000000000,A,4,  39009.31802450000,      0.40137374924,      0.00151083943
116,116,3-53,,3-53,FOOTHILL,,   3123.35000000000,A,4,  23804.27368470000,      0.24818496591,      0.00123820360
117,117,4-4,4-4.06,4-4.06,SANTA CLARA RIVER VALLEY,PIRU,   8915.40200000000,A,4,  52908.57462210000,      0.54291428201,      0.00352716523
118,118,3-16,,3-16,GOLETA,,   9228.94000000000,A,4,  40522.81891480000,      0.42071305433,      0.00365865600
119,119,4-2,,4-2,OJAI VALLEY,,   6850.56600000000,A,4,  36648.75955070000,      0.37285501596,      0.00271366074
120,120,4-3,4-3.01,4-3.01,VENTURA RIVER VALLEY,UPPER VENTURA RIVER,   7429.84100000000,C,4,  44064.82735200000,      0.42954644642,      0.00294259765
121,121,7-9,,7-9,DALE VALLEY,, 214649.46500000000,C,4, 524302.81660999998,      5.18731629295,      0.08410511292
122,122,7-17,,7-17,MEANS VALLEY,,  15061.27500000000,C,4,  66767.80902640001,      0.65636265941,      0.00592922003
123,123,4-5,,4-5,ACTON VALLEY,,   8299.98000000000,A,4,  86897.38899219999,      0.86896407943,      0.00328503338
124,124,7-18,7-18.01,7-18.01,JOHNSON VALLEY,SOGGY LAKE,  77864.57900000000,C,4, 221368.70598400000,      2.21412619242,      0.03065999205
125,125,3-15,,3-15,SANTA YNEZ RIVER VALLEY,,    242.79900000000,A,4, 481577.29291999998,      4.85780039468,      0.08138270061
126,126,7-16,,7-16,AMES VALLEY,, 109340.27099999999,C,4, 384656.09806300001,      3.86811592381,      0.04298602162
127,127,4-4,4-4.07,4-4.07,SANTA CLARA RIVER VALLEY,SANTA CLARA RIVER VALLEY EAST,  66416.84800000000,C,4, 305872.81523900002,      3.04439058503,      0.02627524485
128,128,7-18,7-18.02,7-18.02,JOHNSON VALLEY,UPPER JOHNSON VALLEY,  35050.17500000000,C,4,  86184.15621000000,      0.85444584393,      0.01381699863
129,129,7-13,7-13.01,7-13.01,DEADMAN VALLEY,DEADMAN LAKE,  89793.44400000000,C,4, 172320.60205500000,      1.70349825348,      0.03531874475
130,130,7-7,,7-7,CADIZ VALLEY,, 272930.46299999999,C,4, 461199.50208000001,      4.64832959403,      0.10693058718
131,131,7-19,,7-19,LUCERNE VALLEY,, 148467.35399999999,A,4, 463872.78245599999,      4.61635165911,      0.05857888622
132,132,7-50,,7-50,IRON RIDGE AREA,,   5283.75000000000,C,4,  37039.19384860000,      0.37440344913,      0.00208625964
133,133,7-15,,7-15,BESSEMER VALLEY,,  39378.58900000000,C,4, 159825.96941600001,      1.59435977034,      0.01553348801
134,134,6-42,,6-42,UPPER MOJAVE RIVER VALLEY,, 415295.09299999999,A,4, 584765.68093999999,      5.87134542858,      0.16400314924
135,135,6-43,,6-43,EL MIRAGE VALLEY,,  76291.93300000000,A,4, 166873.49682599999,      1.62734282246,      0.03017215414
136,136,6-89,,6-89,KANE WASH AREA,,   5997.37700000000,C,4,  47524.68210990000,      0.47587957978,      0.00237068648
137,137,4-18,,4-18,HUNGRY VALLEY,,   5323.68300000000,C,4,  58704.59144790000,      0.58137201118,      0.00211483278
138,138,4-17,,4-17,LOCKWOOD VALLEY,,  21840.78800000000,A,4,  65286.22152990000,      0.67083261252,      0.00867987544
139,139,5-83,,5-83,CUDDY RANCH AREA,,   4213.01700000000,C,4,  22378.39257880000,      0.22939321497,      0.00167532075
140,140,7-43,,7-43,CHEMEHUEVI VALLEY,, 275713.16600000003,A,4, 502971.95905900002,      5.02127409847,      0.10799879710
141,141,5-82,,5-82,CUDDY CANYON VALLEY,,   3308.00800000000,C,3,  41247.95477260000,      0.41301199898,      0.00131546738
142,142,7-8,,7-8,BRISTOL VALLEY,, 501834.38799999998,A,4,1018540.33077999996,     10.13461399860,      0.19732822230
143,143,5-84,,5-84,CUDDY VALLEY,,   3473.59200000000,A,3,  31228.00019710000,      0.32496986159,      0.00138194878
144,144,5-85,,5-85,MIL POTRERO AREA,,   2314.00500000000,C,3,  23811.33826920000,      0.23962949947,      0.00092093052
145,145,3-14,,3-14,SAN ANTONIO CREEK VALLEY,,  81941.17000000000,A,4, 165074.39933900000,      1.69041467711,      0.03263652748
146,146,5-29,,5-29,CASTAC LAKE VALLEY,,   3573.34900000000,C,3,  49936.61956330000,      0.50368782821,      0.00142133412
147,147,7-14,,7-14,LAVIC VALLEY,, 103132.07000000001,C,4, 281412.03878300003,      2.78160429619,      0.04072363814
148,148,6-32,,6-32,BROADWELL VALLEY,,  92687.98100000000,C,4, 297635.57528599998,      2.98333215483,      0.03661950161
149,149,6-41,,6-41,MIDDLE MOJAVE RIVER VALLEY,, 212594.95699999999,A,4, 630214.59418599994,      6.34098072137,      0.08421911710
150,150,6-90,,6-90,CADY FAULT AREA,,   8015.04900000000,C,4,  44881.80029790000,      0.44817428174,      0.00317302851
151,151,7-3,,7-3,WARD VALLEY,, 564569.36800000002,A,4, 946848.85400900000,      9.46849786700,      0.22118260343
152,152,6-40,,6-40,LOWER MOJAVE RIVER VALLEY,, 287562.90700000001,A,4, 616980.72928700002,      6.19056475451,      0.11390779076
153,153,5-80,,5-80,BRITE VALLEY,,   3180.52800000000,A,3,  32416.02602700000,      0.31860634866,      0.00126824659
154,154,5-27,,5-27,CUMMINGS VALLEY,,  10051.07500000000,A,3,  42911.01552090000,      0.42754191100,      0.00400878585
155,155,6-38,,6-38,CAVES CANYON VALLEY,,  73542.27200000000,A,4, 174356.72725000000,      1.74019441071,      0.02915796186
156,156,3-45,,3-45,HUASNA VALLEY,,   4705.65500000000,C,3,  54319.00824640000,      0.52206789446,      0.00188205176
157,157,7-44,,7-44,NEEDLES VALLEY,,  89101.26300000001,A,4, 181790.01136199999,      1.81586052248,      0.03506649032
158,158,5-28,,5-28,TEHACHAPI VALLEY WEST,,  14853.53800000000,A,3,  52367.66077490000,      0.51591923352,      0.00592422967
159,159,3-12,,3-12,SANTA MARIA,, 184247.70300000001,A,4, 289231.30793100002,      2.89978086686,      0.07354026563
160,160,7-2,,7-2,FENNER VALLEY,, 457632.45899999997,A,4, 726852.81821499998,      7.21982270599,      0.18037911540
161,161,6-44,,6-44,ANTELOPE VALLEY,,1014596.38600000006,A,4,1496311.85718000005,     15.11982440390,      0.40258583111
162,162,3-13,,3-13,CUYAMA VALLEY,, 242114.12899999999,A,4, 579134.40552599996,      5.88192473151,      0.09648114679
163,163,6-45,,6-45,TEHACHAPI VALLEY EAST,,  24054.79600000000,C,4, 163160.42292200000,      1.63301235322,      0.00959305248
164,164,6-37,,6-37,COYOTE LAKE VALLEY,,  88734.59500000000,A,4, 242544.87481300000,      2.42120430758,      0.03523646547
165,165,3-47,,3-47,BIG SPRING AREA,,   7331.61400000000,C,3,  52891.83968420000,      0.53782106847,      0.00293497653
166,166,6-36,6-36.01,6-36.01,LANGFORD VALLEY,LANGFORD WELL LAKE,  19456.72500000000,C,4,  81449.42028890000,      0.82122748616,      0.00773286581
167,167,3-46,,3-46,RAFAEL VALLEY,,   2995.76700000000,C,3,  31429.29630620000,      0.30919758339,      0.00119990626
168,168,3-9,,3-9,SAN LUIS OBISPO VALLEY,,  12724.39200000000,A,3,  67620.64661980000,      0.68314190213,      0.00509747284
169,169,6-36,6-36.02,6-36.02,LANGFORD VALLEY,IRWIN,  10557.17500000000,C,4,  50679.19908740000,      0.51501529866,      0.00420034888
170,170,6-31,,6-31,KELSO VALLEY,, 257278.47200000001,C,4, 485606.26407300000,      4.89054773641,      0.10175889945
171,171,3-8,,3-8,LOS OSOS VALLEY,,   6993.54900000000,A,3,  38704.99395260000,      0.39933940264,      0.00280460453
172,172,6-47,,6-47,HARPER VALLEY,, 411826.46600000001,A,4, 743228.97967699997,      7.49821690316,      0.16370363580
173,173,3-43,,3-43,RINCONADA VALLEY,,   2578.88800000000,C,3,  26903.87716050000,      0.27035267007,      0.00103415529
174,174,3-44,,3-44,POZO VALLEY,,   6852.43100000000,C,3,  91414.03417540000,      0.92308646149,      0.00274698145
175,175,3-42,,3-42,CHORRO VALLEY,,   1547.11600000000,C,3,  19837.12594510000,      0.20480004677,      0.00062078784
176,176,6-35,,6-35,CRONISE VALLEY,, 127313.40500000000,C,4, 263462.03760099999,      2.64646561365,      0.05057825025
177,177,7-45,,7-45,PIUTE VALLEY,, 177318.97700000001,C,4, 296335.41097299999,      2.94252701474,      0.06999859843
178,178,3-41,,3-41,MORRO VALLEY,,    645.77200000000,C,3,   8935.03270095000,      0.09139493197,      0.00025921426
179,179,6-77,,6-77,GRASS VALLEY,,  10033.46900000000,C,4,  33582.63139990000,      0.33719249056,      0.00400360185
180,180,5-22,5-22.14,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY,   1089.91500000000,A,3, 931702.57963599998,      9.54641286962,      0.78158037682
181,181,3-40,,3-40,TORO VALLEY,,    721.61600000000,C,3,  11621.21722800000,      0.11659108732,      0.00028981120
182,182,6-48,,6-48,GOLDSTONE VALLEY,,  28286.71000000000,C,4, 165533.42058899999,      1.66640076747,      0.01126708824
183,183,6-69,,6-69,KELSO LANDER VALLEY,,  11207.72700000000,C,4,  39654.99932020000,      0.39307901288,      0.00448283191
184,184,6-49,,6-49,SUPERIOR VALLEY,, 121084.38499999999,C,4, 433812.66883200000,      4.30847286888,      0.04823737611
185,185,3-19,,3-19,CARRIZO PLAIN,, 210896.09800000000,C,3, 295015.95694499998,      2.98499517326,      0.08437782546
186,186,5-26,,5-26,WALKER BASIN CREEK VALLEY,,   7692.84000000000,C,3,  42178.22921830000,      0.42294938851,      0.00307912885
187,187,6-50,,6-50,CUDDEBACK VALLEY,,  95418.25300000000,C,4, 291764.85735200002,      2.95229623451,      0.03806406562
188,188,6-34,,6-34,SILVER LAKE VALLEY,,  35518.50500000000,C,4,  89862.05809999999,      0.90860778931,      0.01412431113
189,189,3-38,,3-38,CAYUCOS VALLEY,,    335.79900000000,C,3,   7117.19577532000,      0.06653899259,      0.00013492908
190,190,7-1,,7-1,LANFAIR VALLEY,, 158359.47000000000,C,4, 311286.07296999998,      3.07503548866,      0.06268695037
191,191,6-46,,6-46,FREMONT VALLEY,, 336682.21000000002,C,4, 541976.24869599997,      5.53353612943,      0.13423323821
192,192,6-33,,6-33,SODA LAKE VALLEY,, 383560.13500000001,C,4, 947065.72447899997,      9.55019433782,      0.15208121515
193,193,3-39,,3-39,OLD VALLEY,,   1179.09500000000,C,3,  18088.27082340000,      0.17355490714,      0.00047388881
194,194,3-37,,3-37,VILLA VALLEY,,   1357.80700000000,C,3,  20472.77541180000,      0.19871380932,      0.00054584071
195,195,6-24,,6-24,RED PASS VALLEY,,  97088.02499999999,C,4, 224944.95588699999,      2.25262746891,      0.03865590251
196,196,6-25,,6-25,BICYCLE VALLEY,,  90100.20299999999,C,4, 203491.03246300001,      2.08810830352,      0.03592376525
197,197,6-26,,6-26,AVAWATZ VALLEY,,  27825.83600000000,C,4, 103086.13776800000,      1.05204317549,      0.01109657192
198,198,3-36,,3-36,SANTA ROSA VALLEY,,   3524.65200000000,A,3,  47846.90981330000,      0.49291677105,      0.00141795130
199,199,6-23,,6-23,RIGGS VALLEY,,  88274.44700000000,C,4, 236628.76384000000,      2.36793270206,      0.03514050751
200,200,3-35,,3-35,SAN SIMEON VALLEY,,    559.75900000000,A,3,  11080.37438290000,      0.11386660279,      0.00022533674
201,201,6-78,,6-78,DENNING SPRING VALLEY,,   7289.00600000000,C,4,  48411.73734810000,      0.49781557854,      0.00290961540
202,202,6-51,,6-51,PILOT KNOB VALLEY,, 139460.17600000001,C,4, 420171.06562299997,      4.21205476258,      0.05573157179
203,203,6-27,,6-27,LEACH VALLEY,,  61619.96100000000,C,4, 181689.56083900001,      1.86903366356,      0.02462054468
204,204,3-34,,3-34,ARROYO DE LA CRUZ VALLEY,,   1027.63500000000,C,3,  13262.72428670000,      0.13895900955,      0.00041431302
