CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,2/8/1989,00:00,,,13.380,0.000,13.380,"1,192.300","1,192.300","1,178.920",13.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,10/12/1989,00:00,,,24.310,0.000,24.310,"1,192.300","1,192.300","1,167.990",24.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,5/3/1990,00:00,,,20.500,0.000,20.500,"1,192.300","1,192.300","1,171.800",20.500,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,12/14/1990,00:00,,,26.050,0.000,26.050,"1,192.300","1,192.300","1,166.250",26.050,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,6/13/1991,00:00,,,17.590,0.000,17.590,"1,192.300","1,192.300","1,174.710",17.590,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,5/4/1992,00:00,,,12.720,0.000,12.720,"1,192.300","1,192.300","1,179.580",12.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334348N1170898W001,,5/19/1993,00:00,,,1.850,0.000,1.850,"1,192.300","1,192.300","1,190.450",1.850,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334361N1147658W001,,3/28/2006,00:00,4 - Can't get tape in casing,,,,,342.330,342.330,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334372N1147695W001,,3/28/2006,00:00,4 - Can't get tape in casing,,,,,352.330,352.330,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334386N1170768W001,,8/30/1984,00:00,0 - Measurement Discontinued,,,,,"1,262.320","1,262.320",,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,10/12/1989,00:00,,,34.620,0.000,34.620,"1,260.320","1,260.320","1,225.700",34.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,5/3/1990,00:00,,,35.040,0.000,35.040,"1,260.320","1,260.320","1,225.280",35.040,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,11/30/1990,00:00,,,35.390,0.000,35.390,"1,260.320","1,260.320","1,224.930",35.390,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,6/12/1991,00:00,,,35.520,0.000,35.520,"1,260.320","1,260.320","1,224.800",35.520,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,5/4/1992,00:00,,,35.600,0.000,35.600,"1,260.320","1,260.320","1,224.720",35.600,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334389N1170770W001,,5/7/1993,00:00,,,28.450,0.000,28.450,"1,260.320","1,260.320","1,231.870",28.450,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,1/23/1989,00:00,,,41.800,0.000,41.800,"1,232.320","1,232.320","1,190.520",41.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,5/10/1989,00:00,,,41.930,0.000,41.930,"1,232.320","1,232.320","1,190.390",41.930,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,10/12/1989,00:00,,,42.810,0.000,42.810,"1,232.320","1,232.320","1,189.510",42.810,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,5/3/1990,00:00,,,42.340,0.000,42.340,"1,232.320","1,232.320","1,189.980",42.340,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,11/30/1990,00:00,,,43.620,0.000,43.620,"1,232.320","1,232.320","1,188.700",43.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,6/13/1991,00:00,,,40.650,0.000,40.650,"1,232.320","1,232.320","1,191.670",40.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,5/4/1992,00:00,,,40.720,0.000,40.720,"1,232.320","1,232.320","1,191.600",40.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334395N1170790W001,,5/7/1993,00:00,,,27.670,0.000,27.670,"1,232.320","1,232.320","1,204.650",27.670,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,10/12/1989,00:00,,,64.930,0.000,64.930,"1,192.310","1,192.310","1,127.380",64.930,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,5/3/1990,00:00,,,65.500,0.000,65.500,"1,192.310","1,192.310","1,126.810",65.500,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,12/6/1990,00:00,,,66.390,0.000,66.390,"1,192.310","1,192.310","1,125.920",66.390,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,6/13/1991,00:00,,4 - Pumped recently,67.040,0.000,67.040,"1,192.310","1,192.310","1,125.270",67.040,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,5/13/1992,00:00,,4 - Pumped recently,70.860,0.000,70.860,"1,192.310","1,192.310","1,121.450",70.860,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,6/22/1992,00:00,,,68.980,0.000,68.980,"1,192.310","1,192.310","1,123.330",68.980,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334398N1170873W001,,5/19/1993,00:00,,4 - Pumped recently,67.820,0.000,67.820,"1,192.310","1,192.310","1,124.490",67.820,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334399N1147795W001,,3/28/2006,00:00,4 - Can't get tape in casing,,,,,347.330,347.330,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334401N1147801W001,,3/28/2006,00:00,4 - Can't get tape in casing,,,,,347.330,347.330,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,1/23/1989,00:00,,,45.180,0.000,45.180,"1,342.320","1,342.320","1,297.140",45.180,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,5/10/1989,00:00,,,45.260,0.000,45.260,"1,342.320","1,342.320","1,297.060",45.260,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,10/12/1989,00:00,,,46.030,0.000,46.030,"1,342.320","1,342.320","1,296.290",46.030,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,5/3/1990,00:00,,,46.100,0.000,46.100,"1,342.320","1,342.320","1,296.220",46.100,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,11/30/1990,00:00,,,47.040,0.000,47.040,"1,342.320","1,342.320","1,295.280",47.040,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,6/13/1991,00:00,,,45.560,0.000,45.560,"1,342.320","1,342.320","1,296.760",45.560,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,5/4/1992,00:00,,,45.640,0.000,45.640,"1,342.320","1,342.320","1,296.680",45.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334403N1170798W001,,5/7/1993,00:00,,,37.830,0.000,37.830,"1,342.320","1,342.320","1,304.490",37.830,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334414N1147850W001,,3/28/2006,00:00,D - Dry well,,,,,360.030,360.030,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334414N1147850W001,,3/23/2010,00:00,D - Dry well,,,,,360.030,360.030,,,,,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,1/27/1989,00:00,,,78.630,0.000,78.630,"1,247.330","1,247.330","1,168.700",78.630,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,5/10/1989,00:00,,,79.080,0.000,79.080,"1,247.330","1,247.330","1,168.250",79.080,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,10/5/1989,00:00,,,80.930,0.000,80.930,"1,247.330","1,247.330","1,166.400",80.930,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,5/3/1990,00:00,,,83.090,0.000,83.090,"1,247.330","1,247.330","1,164.240",83.090,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,11/30/1990,00:00,,,84.390,0.000,84.390,"1,247.330","1,247.330","1,162.940",84.390,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,6/12/1991,00:00,,,81.920,0.000,81.920,"1,247.330","1,247.330","1,165.410",81.920,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,5/4/1992,00:00,,,78.140,0.000,78.140,"1,247.330","1,247.330","1,169.190",78.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,5/7/1993,00:00,,,45.800,0.000,45.800,"1,247.330","1,247.330","1,201.530",45.800,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,7/28/1993,00:00,,,43.820,0.000,43.820,"1,247.330","1,247.330","1,203.510",43.820,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334423N1170740W001,,8/16/1994,00:00,,,50.760,0.000,50.760,"1,247.330","1,247.330","1,196.570",50.760,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334439N1170645W001,,1/23/1989,00:00,,,62.640,0.000,62.640,"1,287.330","1,287.330","1,224.690",62.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334439N1170645W001,,10/12/1989,00:00,,4 - Pumped recently,89.560,0.000,89.560,"1,287.330","1,287.330","1,197.770",89.560,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334439N1170645W001,,5/3/1990,00:00,,,86.150,0.000,86.150,"1,287.330","1,287.330","1,201.180",86.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334439N1170645W001,,5/4/1992,00:00,,4 - Pumped recently,59.200,0.000,59.200,"1,287.330","1,287.330","1,228.130",59.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334439N1170645W001,,5/19/1993,00:00,,,23.240,0.000,23.240,"1,287.330","1,287.330","1,264.090",23.240,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/27/1983,00:00,,,24.480,0.000,24.480,"1,242.330","1,242.330","1,217.850",24.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/3/1983,00:00,,,27.550,0.000,27.550,"1,242.330","1,242.330","1,214.780",27.550,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/7/1983,00:00,,,29.370,0.000,29.370,"1,242.330","1,242.330","1,212.960",29.370,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/14/1984,00:00,,,30.310,0.000,30.310,"1,242.330","1,242.330","1,212.020",30.310,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/26/1984,00:00,,,33.640,0.000,33.640,"1,242.330","1,242.330","1,208.690",33.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/1/1984,00:00,,,35.910,0.000,35.910,"1,242.330","1,242.330","1,206.420",35.910,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/3/1984,00:00,,,37.120,0.000,37.120,"1,242.330","1,242.330","1,205.210",37.120,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/14/1985,00:00,,,37.350,0.000,37.350,"1,242.330","1,242.330","1,204.980",37.350,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/4/1985,00:00,,,38.850,0.000,38.850,"1,242.330","1,242.330","1,203.480",38.850,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,9/13/1985,00:00,,,40.980,0.000,40.980,"1,242.330","1,242.330","1,201.350",40.980,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/5/1985,00:00,,,42.170,0.000,42.170,"1,242.330","1,242.330","1,200.160",42.170,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/9/1986,00:00,,,42.290,0.000,42.290,"1,242.330","1,242.330","1,200.040",42.290,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/18/1987,00:00,,,42.630,0.000,42.630,"1,242.330","1,242.330","1,199.700",42.630,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/25/1987,00:00,,,43.880,0.000,43.880,"1,242.330","1,242.330","1,198.450",43.880,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,9/21/1987,00:00,,,45.110,0.000,45.110,"1,242.330","1,242.330","1,197.220",45.110,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/24/1987,00:00,,,44.300,0.000,44.300,"1,242.330","1,242.330","1,198.030",44.300,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,11/25/1987,00:00,,,45.010,0.000,45.010,"1,242.330","1,242.330","1,197.320",45.010,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/29/1987,00:00,,,44.850,0.000,44.850,"1,242.330","1,242.330","1,197.480",44.850,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,1/29/1988,00:00,,,44.640,0.000,44.640,"1,242.330","1,242.330","1,197.690",44.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,2/29/1988,00:00,,,44.410,0.000,44.410,"1,242.330","1,242.330","1,197.920",44.410,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/25/1988,00:00,,,44.590,0.000,44.590,"1,242.330","1,242.330","1,197.740",44.590,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,4/26/1988,00:00,,,44.790,0.000,44.790,"1,242.330","1,242.330","1,197.540",44.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,5/16/1988,00:00,,,44.820,0.000,44.820,"1,242.330","1,242.330","1,197.510",44.820,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/14/1988,00:00,,,45.060,0.000,45.060,"1,242.330","1,242.330","1,197.270",45.060,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,7/6/1988,00:00,,,45.340,0.000,45.340,"1,242.330","1,242.330","1,196.990",45.340,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,8/2/1988,00:00,,,45.750,0.000,45.750,"1,242.330","1,242.330","1,196.580",45.750,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,9/1/1988,00:00,,,46.140,0.000,46.140,"1,242.330","1,242.330","1,196.190",46.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/6/1988,00:00,,,46.670,0.000,46.670,"1,242.330","1,242.330","1,195.660",46.670,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,11/1/1988,00:00,,,46.950,0.000,46.950,"1,242.330","1,242.330","1,195.380",46.950,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/5/1988,00:00,,,47.290,0.000,47.290,"1,242.330","1,242.330","1,195.040",47.290,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,1/5/1989,00:00,,,47.350,0.000,47.350,"1,242.330","1,242.330","1,194.980",47.350,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,2/8/1989,00:00,,,47.230,0.000,47.230,"1,242.330","1,242.330","1,195.100",47.230,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/1/1989,00:00,,,47.140,0.000,47.140,"1,242.330","1,242.330","1,195.190",47.140,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,4/5/1989,00:00,,,47.150,0.000,47.150,"1,242.330","1,242.330","1,195.180",47.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,5/3/1989,00:00,,,47.190,0.000,47.190,"1,242.330","1,242.330","1,195.140",47.190,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/5/1989,00:00,,,47.370,0.000,47.370,"1,242.330","1,242.330","1,194.960",47.370,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,7/5/1989,00:00,,,47.690,0.000,47.690,"1,242.330","1,242.330","1,194.640",47.690,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,8/2/1989,00:00,,,47.960,0.000,47.960,"1,242.330","1,242.330","1,194.370",47.960,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,9/5/1989,00:00,,,48.290,0.000,48.290,"1,242.330","1,242.330","1,194.040",48.290,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/17/1989,00:00,,,48.710,0.000,48.710,"1,242.330","1,242.330","1,193.620",48.710,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,11/7/1989,00:00,,,48.900,0.000,48.900,"1,242.330","1,242.330","1,193.430",48.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/6/1989,00:00,,,49.150,0.000,49.150,"1,242.330","1,242.330","1,193.180",49.150,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,1/5/1990,00:00,,,49.360,0.000,49.360,"1,242.330","1,242.330","1,192.970",49.360,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,2/15/1990,00:00,,,49.620,0.000,49.620,"1,242.330","1,242.330","1,192.710",49.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/7/1990,00:00,,,49.260,0.000,49.260,"1,242.330","1,242.330","1,193.070",49.260,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/20/1990,00:00,,,49.090,0.000,49.090,"1,242.330","1,242.330","1,193.240",49.090,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,4/4/1990,00:00,,,49.020,0.000,49.020,"1,242.330","1,242.330","1,193.310",49.020,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,5/2/1990,00:00,,,49.070,0.000,49.070,"1,242.330","1,242.330","1,193.260",49.070,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,6/6/1990,00:00,,,49.240,0.000,49.240,"1,242.330","1,242.330","1,193.090",49.240,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,7/12/1990,00:00,,,49.580,0.000,49.580,"1,242.330","1,242.330","1,192.750",49.580,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,8/10/1990,00:00,,,49.820,0.000,49.820,"1,242.330","1,242.330","1,192.510",49.820,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,9/6/1990,00:00,,,50.070,0.000,50.070,"1,242.330","1,242.330","1,192.260",50.070,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,10/5/1990,00:00,,,50.280,0.000,50.280,"1,242.330","1,242.330","1,192.050",50.280,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,11/8/1990,00:00,,,50.550,0.000,50.550,"1,242.330","1,242.330","1,191.780",50.550,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,12/11/1990,00:00,,,50.780,0.000,50.780,"1,242.330","1,242.330","1,191.550",50.780,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,1/8/1991,00:00,,,50.900,0.000,50.900,"1,242.330","1,242.330","1,191.430",50.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,2/8/1991,00:00,,,50.990,0.000,50.990,"1,242.330","1,242.330","1,191.340",50.990,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,3/19/1991,00:00,,,49.300,0.000,49.300,"1,242.330","1,242.330","1,193.030",49.300,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
334442N1170748W001,,4/4/1991,00:00,,,46.750,0.000,46.750,"1,242.330","1,242.330","1,195.580",46.750,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Riverside_06.21.1983-06.21.2013
