CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Inyo_06.21.2003-06.21.2013
358414N1178717W002,USBR-10-SM,3/4/2013,00:00,,,324.900,0.000,324.900,"2,564.200","2,559.391","2,239.300",320.091,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W003,USBR-10-DM,10/3/2011,08:00,4 - Can't get tape in casing,,,,,"2,564.040","2,559.391",,,,,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W003,USBR-10-DM,2/27/2012,08:00,7 - Special/Other,,,,,"2,564.040","2,559.391",,,,,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W003,USBR-10-DM,10/8/2012,08:00,2 - Pump house locked,,,,,"2,564.040","2,559.391",,,,,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W003,USBR-10-DM,3/4/2013,00:00,4 - Can't get tape in casing,,,,,"2,564.040","2,559.391",,,,,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W004,USBR-10-D,10/3/2011,08:00,,,318.000,0.000,318.000,"2,563.930","2,559.391","2,245.930",313.461,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W004,USBR-10-D,2/27/2012,08:00,,,318.100,0.000,318.100,"2,563.930","2,559.391","2,245.830",313.561,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W004,USBR-10-D,10/8/2012,08:00,,,319.100,0.000,319.100,"2,563.930","2,559.391","2,244.830",314.561,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
358414N1178717W004,USBR-10-D,3/4/2013,00:00,,,318.600,0.000,318.600,"2,563.930","2,559.391","2,245.330",314.061,ES - Electric sounder measurement,0.01 Ft,Indian Wells Valley Cooperative Groundwater Management Group,CASGEM,,Inyo_06.21.2003-06.21.2013
359850N1178888W001,18-28 GTH,10/19/2011,12:53,,,173.890,0.000,173.890,"3,365.700","3,363.260","3,191.810",171.450,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
359850N1178888W001,18-28 GTH,4/19/2012,12:33,,,173.840,0.000,173.840,"3,365.700","3,363.260","3,191.860",171.400,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
359850N1178888W001,18-28 GTH,10/17/2012,13:02,,,173.950,0.000,173.950,"3,365.700","3,363.260","3,191.750",171.510,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360255N1178832W001,Lego,10/19/2011,13:13,,,222.140,0.000,222.140,"3,426.040","3,423.440","3,203.900",219.540,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360255N1178832W001,Lego,4/19/2012,12:49,,,222.400,0.000,222.400,"3,426.040","3,423.440","3,203.640",219.800,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360255N1178832W001,Lego,10/17/2012,13:22,,,222.620,0.000,222.620,"3,426.040","3,423.440","3,203.420",220.020,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360497N1179516W001,Coso Junction Ranch,10/19/2011,09:57,,,172.680,0.000,172.680,"3,406.900","3,405.480","3,234.220",171.260,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360497N1179516W001,Coso Junction Ranch,4/18/2012,10:00,,,173.070,0.000,173.070,"3,406.900","3,405.480","3,233.830",171.650,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360497N1179516W001,Coso Junction Ranch,10/17/2012,10:07,,,173.510,0.000,173.510,"3,406.900","3,405.480","3,233.390",172.090,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360710N1179533W001,HR1B,10/19/2011,11:03,,,232.970,0.000,232.970,"3,435.150","3,434.140","3,202.180",231.960,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360710N1179533W001,HR1B,4/18/2012,10:35,,,227.800,0.000,227.800,"3,435.150","3,434.140","3,207.350",226.790,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360710N1179533W001,HR1B,10/17/2012,11:43,,,231.280,0.000,231.280,"3,435.150","3,434.140","3,203.870",230.270,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179530W001,HR2C,10/19/2011,11:42,,,214.120,0.000,214.120,"3,435.400","3,434.360","3,221.280",213.080,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179530W001,HR2C,4/18/2012,11:07,,,216.030,0.000,216.030,"3,435.400","3,434.360","3,219.370",214.990,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179530W001,HR2C,10/17/2012,12:06,,,213.150,0.000,213.150,"3,435.400","3,434.360","3,222.250",212.110,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179531W001,HR2B,10/19/2011,11:36,,,228.020,0.000,228.020,"3,435.930","3,434.860","3,207.910",226.950,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179531W001,HR2B,4/18/2012,11:01,,,233.640,0.000,233.640,"3,435.930","3,434.860","3,202.290",232.570,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179531W001,HR2B,10/17/2012,12:14,,,222.610,0.000,222.610,"3,435.930","3,434.860","3,213.320",221.540,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179532W001,HR2A,10/19/2011,11:31,,,201.070,0.000,201.070,"3,436.300","3,435.280","3,235.230",200.050,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179532W001,HR2A,4/18/2012,10:55,,,202.530,0.000,202.530,"3,436.300","3,435.280","3,233.770",201.510,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360723N1179532W001,HR2A,10/17/2012,12:22,,,201.180,0.000,201.180,"3,436.300","3,435.280","3,235.120",200.160,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179533W001,HR1C,10/19/2011,11:08,,,222.240,0.000,222.240,"3,434.820","3,433.810","3,212.580",221.230,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179533W001,HR1C,4/18/2012,10:40,,,216.570,0.000,216.570,"3,434.820","3,433.810","3,218.250",215.560,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179533W001,HR1C,10/17/2012,11:52,,,224.800,0.000,224.800,"3,434.820","3,433.810","3,210.020",223.790,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179535W001,HR1A,10/19/2011,10:58,,,201.510,0.000,201.510,"3,435.490","3,434.500","3,233.980",200.520,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179535W001,HR1A,4/18/2012,10:30,,,203.620,0.000,203.620,"3,435.490","3,434.500","3,231.870",202.630,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360800N1179535W001,HR1A,10/17/2012,11:37,,,200.290,0.000,200.290,"3,435.490","3,434.500","3,235.200",199.300,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360972N1179576W001,T889,10/4/2011,13:24,,,140.500,0.000,140.500,"3,503.820","3,501.560","3,363.320",138.240,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360972N1179576W001,T889,4/3/2012,13:04,,,140.480,0.000,140.480,"3,503.820","3,501.560","3,363.340",138.220,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
360972N1179576W001,T889,10/3/2012,11:31,,,142.500,0.000,142.500,"3,503.820","3,501.560","3,361.320",140.240,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
361006N1179577W001,V816,10/4/2011,13:12,,,77.960,0.000,77.960,"3,518.430","3,518.300","3,440.470",77.830,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
361006N1179577W001,V816,4/3/2012,12:52,,,77.330,0.000,77.330,"3,518.430","3,518.300","3,441.100",77.200,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
361006N1179577W001,V816,10/17/2012,11:15,,,80.480,0.000,80.480,"3,518.430","3,518.300","3,437.950",80.350,ES - Electric sounder measurement,0.01 Ft,Inyo County,CASGEM,,Inyo_06.21.2003-06.21.2013
362883N1163790W001,test,2/6/2007,00:00,F - Flowing artesian well,,,,,"2,021.510","2,021.510",,,,,United States Geological Survey,Voluntary,,Inyo_06.21.2003-06.21.2013
363022N1177244W001,,3/26/2007,00:00,,6 - Other,898.000,0.000,898.000,"4,863.520","4,863.520","3,965.520",898.000,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,Inyo_06.21.2003-06.21.2013
363189N1177251W001,,12/12/2006,00:00,D - Dry well,,,,,"4,767.580","4,767.580",,,,,United States Geological Survey,Voluntary,,Inyo_06.21.2003-06.21.2013
363235N1180034W001,T910,5/1/2012,11:17,,,-28.250,0.000,-28.250,"3,581.500","3,580.500","3,609.750",-29.250,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
363235N1180034W001,T910,6/1/2012,11:17,,,-27.930,0.000,-27.930,"3,581.500","3,580.500","3,609.430",-28.930,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
363235N1180034W001,T910,7/1/2012,11:17,,,-27.740,0.000,-27.740,"3,581.500","3,580.500","3,609.240",-28.740,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
363235N1180034W002,T908,5/1/2012,11:17,,,-47.370,0.000,-47.370,"3,581.900","3,580.900","3,629.270",-48.370,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
363235N1180034W002,T908,6/1/2012,11:17,,,-46.900,0.000,-46.900,"3,581.900","3,580.900","3,628.800",-47.900,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
363235N1180034W002,T908,7/1/2012,11:17,,,-46.740,0.000,-46.740,"3,581.900","3,580.900","3,628.640",-47.740,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W001,T901,5/1/2012,11:17,,,-37.030,0.000,-37.030,"3,572.870","3,571.870","3,609.900",-38.030,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W001,T901,6/1/2012,11:17,,,-37.100,0.000,-37.100,"3,572.870","3,571.870","3,609.970",-38.100,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W001,T901,7/1/2012,11:17,,,-37.100,0.000,-37.100,"3,572.870","3,571.870","3,609.970",-38.100,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W002,T899,5/1/2012,11:17,,,-44.670,0.000,-44.670,"3,572.980","3,571.980","3,617.650",-45.670,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W002,T899,6/1/2012,11:17,,,-44.740,0.000,-44.740,"3,572.980","3,571.980","3,617.720",-45.740,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
364914N1179144W002,T899,7/1/2012,11:17,,,-44.620,0.000,-44.620,"3,572.980","3,571.980","3,617.600",-45.620,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W001,T904,5/1/2012,11:17,,,-4.690,0.000,-4.690,"3,631.460","3,630.190","3,636.150",-5.960,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W001,T904,6/1/2012,11:17,,,-3.550,0.000,-3.550,"3,631.460","3,630.190","3,635.010",-4.820,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W001,T904,7/1/2012,11:17,,,-3.000,0.000,-3.000,"3,631.460","3,630.190","3,634.460",-4.270,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W002,T902,5/1/2012,11:17,,,-1.040,0.000,-1.040,"3,631.190","3,630.190","3,632.230",-2.040,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W002,T902,6/1/2012,11:17,,,-1.190,0.000,-1.190,"3,631.190","3,630.190","3,632.380",-2.190,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365403N1180129W002,T902,7/1/2012,11:17,,,-1.200,0.000,-1.200,"3,631.190","3,630.190","3,632.390",-2.200,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,10/30/2003,10:55,,,19.330,0.000,19.330,"3,703.570","3,702.700","3,684.240",18.460,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,11/26/2003,11:45,,,19.500,0.000,19.500,"3,703.570","3,702.700","3,684.070",18.630,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,12/16/2003,14:10,,,19.500,0.000,19.500,"3,703.570","3,702.700","3,684.070",18.630,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,1/13/2004,14:45,,,20.650,0.000,20.650,"3,703.570","3,702.700","3,682.920",19.780,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,2/18/2004,14:14,,,21.260,0.000,21.260,"3,703.570","3,702.700","3,682.310",20.390,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,3/31/2004,13:39,,,22.050,0.000,22.050,"3,703.570","3,702.700","3,681.520",21.180,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,4/15/2004,10:45,,,22.440,0.000,22.440,"3,703.570","3,702.700","3,681.130",21.570,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,4/29/2004,13:37,,,22.420,0.000,22.420,"3,703.570","3,702.700","3,681.150",21.550,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,5/13/2004,09:56,,,22.110,0.000,22.110,"3,703.570","3,702.700","3,681.460",21.240,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,5/27/2004,08:21,,,20.800,0.000,20.800,"3,703.570","3,702.700","3,682.770",19.930,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,6/10/2004,12:37,,,20.500,0.000,20.500,"3,703.570","3,702.700","3,683.070",19.630,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,6/24/2004,11:29,,,20.330,0.000,20.330,"3,703.570","3,702.700","3,683.240",19.460,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,7/8/2004,11:25,,,20.380,0.000,20.380,"3,703.570","3,702.700","3,683.190",19.510,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,7/22/2004,13:31,,,19.890,0.000,19.890,"3,703.570","3,702.700","3,683.680",19.020,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,8/5/2004,10:14,,,19.860,0.000,19.860,"3,703.570","3,702.700","3,683.710",18.990,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,8/19/2004,09:32,,,19.740,0.000,19.740,"3,703.570","3,702.700","3,683.830",18.870,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,9/16/2004,12:43,,,20.010,0.000,20.010,"3,703.570","3,702.700","3,683.560",19.140,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,10/29/2004,11:32,,,20.760,0.000,20.760,"3,703.570","3,702.700","3,682.810",19.890,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,11/23/2004,11:55,,,21.100,0.000,21.100,"3,703.570","3,702.700","3,682.470",20.230,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,1/14/2005,12:10,,,21.860,0.000,21.860,"3,703.570","3,702.700","3,681.710",20.990,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,2/16/2005,11:45,,,22.110,0.000,22.110,"3,703.570","3,702.700","3,681.460",21.240,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,3/17/2005,12:31,,,22.370,0.000,22.370,"3,703.570","3,702.700","3,681.200",21.500,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,4/15/2005,13:13,,,21.400,0.000,21.400,"3,703.570","3,702.700","3,682.170",20.530,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,5/13/2005,12:18,,,19.620,0.000,19.620,"3,703.570","3,702.700","3,683.950",18.750,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,6/10/2005,09:43,,,18.840,0.000,18.840,"3,703.570","3,702.700","3,684.730",17.970,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,7/8/2005,12:20,,,18.940,0.000,18.940,"3,703.570","3,702.700","3,684.630",18.070,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,8/12/2005,08:30,,,17.890,0.000,17.890,"3,703.570","3,702.700","3,685.680",17.020,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,9/2/2005,14:23,,,17.460,0.000,17.460,"3,703.570","3,702.700","3,686.110",16.590,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,10/14/2005,12:22,,,16.630,0.000,16.630,"3,703.570","3,702.700","3,686.940",15.760,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,11/10/2005,09:13,,,17.850,0.000,17.850,"3,703.570","3,702.700","3,685.720",16.980,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,12/8/2005,13:57,,,18.700,0.000,18.700,"3,703.570","3,702.700","3,684.870",17.830,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,1/6/2006,09:55,,,18.770,0.000,18.770,"3,703.570","3,702.700","3,684.800",17.900,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,2/3/2006,10:06,,,18.720,0.000,18.720,"3,703.570","3,702.700","3,684.850",17.850,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,3/3/2006,12:47,,,18.800,0.000,18.800,"3,703.570","3,702.700","3,684.770",17.930,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,4/17/2006,07:21,,,18.110,0.000,18.110,"3,703.570","3,702.700","3,685.460",17.240,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,5/12/2006,08:36,,,17.820,0.000,17.820,"3,703.570","3,702.700","3,685.750",16.950,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,7/13/2006,09:07,,,14.630,0.000,14.630,"3,703.570","3,702.700","3,688.940",13.760,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,8/10/2006,08:36,,,14.600,0.000,14.600,"3,703.570","3,702.700","3,688.970",13.730,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
365882N1180574W001,V015N,10/12/2006,12:57,,,14.610,0.000,14.610,"3,703.570","3,702.700","3,688.960",13.740,ES - Electric sounder measurement,0.1 Ft,Los Angeles Department of Water and Power,CASGEM,,Inyo_06.21.2003-06.21.2013
